City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,kropotkin,45.4375,40.5756,10.19,85,100,1.75,RU,1680917020
122,hilo,19.7297,-155.09,25.85,73,75,4.12,US,1680916928
123,gat,31.61,34.7642,19.67,72,51,0.72,IL,1680917020
124,victoria,22.2855,114.1577,23.44,80,100,0.45,HK,1680916922
125,ilulissat,69.2167,-51.1,-19.88,97,100,1.57,GL,1680916945
126,tiksi,71.6872,128.8694,-18.42,90,57,7.12,RU,1680916909
127,maumere,-8.6199,122.2111,26.23,81,100,4.22,ID,1680917021
128,sawtell,-30.3833,153.1,24.01,43,0,3.6,AU,1680917021
129,louga,58.7372,29.8453,-1.71,98,12,1.3,RU,1680917022
130,port-gentil,-0.7193,8.7815,27.65,82,100,4.87,GA,1680917022
131,arraial do cabo,-22.9661,-42.0278,22.84,93,100,6.14,BR,1680917022
132,hambantota,6.1241,81.1185,25.41,79,52,4.33,LK,1680917022
133,prince rupert,54.3161,-130.3201,7.05,70,0,9.77,CA,1680916835
134,tuatapere,-46.1333,167.6833,15.16,51,0,0.82,NZ,1680917023
135,goundi,9.3627,17.366,29.97,35,25,1.84,TD,1680917023
136,buala,-8.145,159.5921,30.22,66,94,2.93,SB,1680917023
137,turukhansk,65.8167,87.9833,-18.76,94,100,5.86,RU,1680916922
138,ovsyanka,55.9575,92.5519,-11.46,70,97,1.91,RU,1680917024
139,soyo,-6.1349,12.3689,26.16,83,100,3.18,AO,1680916938
140,lompoc,34.6391,-120.4579,18.16,76,20,5.36,US,1680916952
141,winkler,49.1817,-97.941,-4.0,86,100,2.06,CA,1680917025
142,alice springs,-23.7,133.8833,25.68,35,1,4.63,AU,1680916813
143,nikolskoye,59.7035,30.7861,-1.06,98,27,1.0,RU,1680916902
144,verkh-suetka,53.3,80.05,-8.84,73,6,5.34,RU,1680917026
145,kindu,-2.95,25.95,20.47,98,35,0.51,CD,1680917026
146,bilibino,68.0546,166.4372,-14.06,68,7,0.61,RU,1680916933
147,port augusta,-32.5,137.7667,21.62,47,4,6.47,AU,1680917026
148,carnarvon,-24.8667,113.6333,22.23,56,8,4.84,AU,1680916900
149,miyang,24.4042,103.4428,17.48,71,95,1.93,CN,1680917027
150,shache,38.4167,77.2406,8.17,20,0,1.85,CN,1680917027
151,karabuk,41.2049,32.6277,7.14,93,98,0.58,TR,1680917027
152,maketu,-37.7667,176.45,18.75,49,100,6.43,NZ,1680917028
153,narsaq,60.9167,-46.05,1.12,88,100,2.17,GL,1680916943
154,caravelas,-17.7125,-39.2481,24.11,89,6,1.82,BR,1680917028
155,lagoa,39.05,-27.9833,12.86,60,8,4.71,PT,1680917028
